"servername","dbname","Table","Index_or_Statistics","T-SQL Drop Command"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K25_K20_K1_K45_K3_K81_K22_K19_K41_K2_K18_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K25_K20_K1_K45_K3_K81_K22_K19_K41_K2_K18_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K3_K1_K45_K22_K81_K19_K20_K41_K2_K18_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K3_K1_K45_K22_K81_K19_K20_K41_K2_K18_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K45_K1_K3_K81_K22_K19_K20_K41_K2_K18_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K45_K1_K3_K81_K22_K19_K20_K41_K2_K18_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K19_K1_K45_K3_K81_K22_K20_K41_K2_K18_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K19_K1_K45_K3_K81_K22_K20_K41_K2_K18_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K41_K1_K45_K3_K81_K22_K19_K20_K2_K18_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K41_K1_K45_K3_K81_K22_K19_K20_K2_K18_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K2_K1_K45_K3_K81_K22_K19_K20_K41_K18_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K2_K1_K45_K3_K81_K22_K19_K20_K41_K18_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K19_K20_K41_K2_K18_K25_26_28_30_32_46_93]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K19_K20_K41_K2_K18_K25_26_28_30_32_46_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_stat_418100530_2_1_45_3_81_22_19_20]","USE abillity_42712; DROP INDEX [_dta_stat_418100530_2_1_45_3_81_22_19_20] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_stat_418100530_25_20_1_45_3_81_22_19_41_2]","USE abillity_42712; DROP INDEX [_dta_stat_418100530_25_20_1_45_3_81_22_19_41_2] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K93_3_1912]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K93_3_1912] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K93_2533]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K93_2533] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_3_93_6355]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_3_93_6355] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K93_K1_3_8341]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K93_K1_3_8341] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K81_K19_K18_K20_K41_K45_K3_K2_K1_K22_K25_26_28_30_32_46_93_4364]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K81_K19_K18_K20_K41_K45_K3_K2_K1_K22_K25_26_28_30_32_46_93_4364] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K22_K19_K18_K20_K41_K45_K3_K2_K1_K81_K25_26_28_30_32_46_93_8066]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K22_K19_K18_K20_K41_K45_K3_K2_K1_K81_K25_26_28_30_32_46_93_8066] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K3_1912]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K3_1912] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K3_K1_K45_K81_K22_4149]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K3_K1_K45_K81_K22_4149] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K2_8258]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K2_8258] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K25_K20_K1_K45_K3_K81_K22_K19_K18_K41_K2_26_28_30_32_46_93_4864]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K25_K20_K1_K45_K3_K81_K22_K19_K18_K41_K2_26_28_30_32_46_93_4864] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K45_6960]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K45_6960] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K19_K18_K20_K41_K45_K3_K2_K25_K1_K22_K81_26_28_30_32_46_93_8526]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K19_K18_K20_K41_K45_K3_K2_K25_K1_K22_K81_26_28_30_32_46_93_8526] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K22_8341]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K22_8341] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K19_114]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K1_K45_K3_K81_K22_K19_114] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_index_incidents_31_418100530__K18_K1_K45_K3_K81_K22_K19_K20_K41_K2_K25_26_28_30_32_46_93_9953]","USE abillity_42712; DROP INDEX [_dta_index_incidents_31_418100530__K18_K1_K45_K3_K81_K22_K19_K20_K41_K2_K25_26_28_30_32_46_93_9953] ON [dbo].[incidents];"
